avg_context_words_top3,avg_retrieval_latency_s,chunk_size,chunks,config,index_build_s,mrr,overlap,relevant_top3_pct,top1_pct
202.4,0.0848,80,12,small_o0,22.8291,0.925,0,90.0,90.0
217.8,0.0173,80,13,small_o10,0.7601,0.925,10,90.0,90.0
214.2,0.0172,80,16,small_o20,0.5654,0.95,20,100.0,90.0
352.1,0.0326,160,7,medium_o0,0.8299,0.9333,0,100.0,90.0
366.9,0.0423,160,7,medium_o20,1.6594,0.9333,20,100.0,90.0
377.6,0.0282,160,9,medium_o40,2.5712,0.9333,40,100.0,90.0
621.4,0.0261,320,4,large_o0,0.4048,0.9,0,100.0,80.0
621.4,0.0328,320,4,large_o40,0.5928,0.9,40,100.0,80.0
597.4,0.0424,320,5,large_o80,1.015,0.9,80,100.0,80.0
