Dataset,Pipeline,P@1,P@3,P@5,R@1,R@3,R@5,MRR,nDCG@1,nDCG@3,nDCG@5,Avg Latency (ms)
12-Question Baseline,Custom Orchestration,1.0,0.8333,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0,963.59
12-Question Baseline,LangChain Orchestration,1.0,0.8333,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0,238.52
19-Question Hard Set,Custom Orchestration,1.0,0.7368,0.7368,0.5175,1.0,1.0,1.0,1.0,1.0,1.0,358.11
19-Question Hard Set,LangChain Orchestration,1.0,0.7368,0.7368,0.5175,1.0,1.0,1.0,1.0,1.0,1.0,473.63
Q06-Q15 Set,Custom Orchestration,1.0,0.7333,0.7333,0.5333,1.0,1.0,1.0,1.0,1.0,1.0,234.22
Q06-Q15 Set,LangChain Orchestration,1.0,0.7333,0.7333,0.5333,1.0,1.0,1.0,1.0,1.0,1.0,235.18
